V1,V2
StartDate,Start Date
EndDate,End Date
Status,Response Type
Progress,Progress
Duration (in seconds),Duration (in seconds)
Finished,Finished
RecordedDate,Recorded Date
ResponseId,Response ID
DistributionChannel,Distribution Channel
UserLanguage,User Language
Q_RecaptchaScore,Q_RecaptchaScore
Q_RelevantIDDuplicate,Q_RelevantIDDuplicate
Q_RelevantIDDuplicateScore,Q_RelevantIDDuplicateScore
Q_RelevantIDFraudScore,Q_RelevantIDFraudScore
Q_RelevantIDLastStartDate,Q_RelevantIDLastStartDate
Phone/tablet,Are you completing this survey on a mobile device or tablet?
gender,What is your gender? - Selected Choice
gender_other,What is your gender? - I prefer to self-describe - Text
Residence,Do you live in the continental United States of America?
Nationality,I am a citizen of: - Selected Choice
Nationality_2_TEXT,I am a citizen of: - Other (please specify): - Text
del7,"As an example, if the following sequence appears on your screen:

8 x 4


You would enter ""32"" in the text box. Please press next to continue."
task_comp_check1,"What would you enter if the problem ""4 x 12"" appeared on the screen, as shown below? 
 4 x 12"
task_comp_check2,"The correct answer to the previous question was ""48."" To proceed you must answer a comprehension question correctly. What would you enter if the problem ""2 x 1"" appeared on the screen, as shown below? 

2 x 1"
task_comp_check3,"The correct answer to the previous question was ""2."" To proceed you must answer a comprehension question correctly. What would you enter if the problem ""6 x 11"" appeared on the screen, as shown below?    
6 x 11"
Q1302_First Click,Timing - First Click
Q1302_Last Click,Timing - Last Click
study_tables_time,Timing - Page Submit
Q1302_Click Count,Timing - Click Count
1_Q2631,11 - 6 - What is the answer to [Field-1]?
1_Q2632,11 - 6 - What is the answer to [Field-2]?
1_Q2633,11 - 6 - What is the answer to [Field-3]?
1_Q2634,11 - 6 - What is the answer to [Field-4]?
1_Q2635,11 - 6 - What is the answer to [Field-5]?
1_Q2636,11 - 6 - What is the answer to [Field-6]?
1_Q2637,11 - 6 - What is the answer to [Field-7]?
1_Q2638,11 - 6 - What is the answer to [Field-8]?
1_Q2639,11 - 6 - What is the answer to [Field-9]?
1_Q2640,11 - 6 - What is the answer to [Field-10]?
1_Q2641,
2_Q2631,19 - 9 - What is the answer to [Field-1]?
2_Q2632,19 - 9 - What is the answer to [Field-2]?
2_Q2633,19 - 9 - What is the answer to [Field-3]?
2_Q2634,19 - 9 - What is the answer to [Field-4]?
2_Q2635,19 - 9 - What is the answer to [Field-5]?
2_Q2636,19 - 9 - What is the answer to [Field-6]?
2_Q2637,19 - 9 - What is the answer to [Field-7]?
2_Q2638,19 - 9 - What is the answer to [Field-8]?
2_Q2639,19 - 9 - What is the answer to [Field-9]?
2_Q2640,19 - 9 - What is the answer to [Field-10]?
2_Q2641,
3_Q2631,11 - 11 - What is the answer to [Field-1]?
3_Q2632,11 - 11 - What is the answer to [Field-2]?
3_Q2633,11 - 11 - What is the answer to [Field-3]?
3_Q2634,11 - 11 - What is the answer to [Field-4]?
3_Q2635,11 - 11 - What is the answer to [Field-5]?
3_Q2636,11 - 11 - What is the answer to [Field-6]?
3_Q2637,11 - 11 - What is the answer to [Field-7]?
3_Q2638,11 - 11 - What is the answer to [Field-8]?
3_Q2639,11 - 11 - What is the answer to [Field-9]?
3_Q2640,11 - 11 - What is the answer to [Field-10]?
3_Q2641,
4_Q2631,8 - 4 - What is the answer to [Field-1]?
4_Q2632,8 - 4 - What is the answer to [Field-2]?
4_Q2633,8 - 4 - What is the answer to [Field-3]?
4_Q2634,8 - 4 - What is the answer to [Field-4]?
4_Q2635,8 - 4 - What is the answer to [Field-5]?
4_Q2636,8 - 4 - What is the answer to [Field-6]?
4_Q2637,8 - 4 - What is the answer to [Field-7]?
4_Q2638,8 - 4 - What is the answer to [Field-8]?
4_Q2639,8 - 4 - What is the answer to [Field-9]?
4_Q2640,8 - 4 - What is the answer to [Field-10]?
4_Q2641,
5_Q2631,16 - 6 - What is the answer to [Field-1]?
5_Q2632,16 - 6 - What is the answer to [Field-2]?
5_Q2633,16 - 6 - What is the answer to [Field-3]?
5_Q2634,16 - 6 - What is the answer to [Field-4]?
5_Q2635,16 - 6 - What is the answer to [Field-5]?
5_Q2636,16 - 6 - What is the answer to [Field-6]?
5_Q2637,16 - 6 - What is the answer to [Field-7]?
5_Q2638,16 - 6 - What is the answer to [Field-8]?
5_Q2639,16 - 6 - What is the answer to [Field-9]?
5_Q2640,16 - 6 - What is the answer to [Field-10]?
5_Q2641,
6_Q2631,21 - 11 - What is the answer to [Field-1]?
6_Q2632,21 - 11 - What is the answer to [Field-2]?
6_Q2633,21 - 11 - What is the answer to [Field-3]?
6_Q2634,21 - 11 - What is the answer to [Field-4]?
6_Q2635,21 - 11 - What is the answer to [Field-5]?
6_Q2636,21 - 11 - What is the answer to [Field-6]?
6_Q2637,21 - 11 - What is the answer to [Field-7]?
6_Q2638,21 - 11 - What is the answer to [Field-8]?
6_Q2639,21 - 11 - What is the answer to [Field-9]?
6_Q2640,21 - 11 - What is the answer to [Field-10]?
6_Q2641,
7_Q2631,5 - 4 - What is the answer to [Field-1]?
7_Q2632,5 - 4 - What is the answer to [Field-2]?
7_Q2633,5 - 4 - What is the answer to [Field-3]?
7_Q2634,5 - 4 - What is the answer to [Field-4]?
7_Q2635,5 - 4 - What is the answer to [Field-5]?
7_Q2636,5 - 4 - What is the answer to [Field-6]?
7_Q2637,5 - 4 - What is the answer to [Field-7]?
7_Q2638,5 - 4 - What is the answer to [Field-8]?
7_Q2639,5 - 4 - What is the answer to [Field-9]?
7_Q2640,5 - 4 - What is the answer to [Field-10]?
7_Q2641,
8_Q2631,14 - 5 - What is the answer to [Field-1]?
8_Q2632,14 - 5 - What is the answer to [Field-2]?
8_Q2633,14 - 5 - What is the answer to [Field-3]?
8_Q2634,14 - 5 - What is the answer to [Field-4]?
8_Q2635,14 - 5 - What is the answer to [Field-5]?
8_Q2636,14 - 5 - What is the answer to [Field-6]?
8_Q2637,14 - 5 - What is the answer to [Field-7]?
8_Q2638,14 - 5 - What is the answer to [Field-8]?
8_Q2639,14 - 5 - What is the answer to [Field-9]?
8_Q2640,14 - 5 - What is the answer to [Field-10]?
8_Q2641,
9_Q2631,9 - 5 - What is the answer to [Field-1]?
9_Q2632,9 - 5 - What is the answer to [Field-2]?
9_Q2633,9 - 5 - What is the answer to [Field-3]?
9_Q2634,9 - 5 - What is the answer to [Field-4]?
9_Q2635,9 - 5 - What is the answer to [Field-5]?
9_Q2636,9 - 5 - What is the answer to [Field-6]?
9_Q2637,9 - 5 - What is the answer to [Field-7]?
9_Q2638,9 - 5 - What is the answer to [Field-8]?
9_Q2639,9 - 5 - What is the answer to [Field-9]?
9_Q2640,9 - 5 - What is the answer to [Field-10]?
9_Q2641,
10_Q2631,10 - 7 - What is the answer to [Field-1]?
10_Q2632,10 - 7 - What is the answer to [Field-2]?
10_Q2633,10 - 7 - What is the answer to [Field-3]?
10_Q2634,10 - 7 - What is the answer to [Field-4]?
10_Q2635,10 - 7 - What is the answer to [Field-5]?
10_Q2636,10 - 7 - What is the answer to [Field-6]?
10_Q2637,10 - 7 - What is the answer to [Field-7]?
10_Q2638,10 - 7 - What is the answer to [Field-8]?
10_Q2639,10 - 7 - What is the answer to [Field-9]?
10_Q2640,10 - 7 - What is the answer to [Field-10]?
10_Q2641,
11_Q2631,5 - 2 - What is the answer to [Field-1]?
11_Q2632,5 - 2 - What is the answer to [Field-2]?
11_Q2633,5 - 2 - What is the answer to [Field-3]?
11_Q2634,5 - 2 - What is the answer to [Field-4]?
11_Q2635,5 - 2 - What is the answer to [Field-5]?
11_Q2636,5 - 2 - What is the answer to [Field-6]?
11_Q2637,5 - 2 - What is the answer to [Field-7]?
11_Q2638,5 - 2 - What is the answer to [Field-8]?
11_Q2639,5 - 2 - What is the answer to [Field-9]?
11_Q2640,5 - 2 - What is the answer to [Field-10]?
11_Q2641,
12_Q2631,18 - 11 - What is the answer to [Field-1]?
12_Q2632,18 - 11 - What is the answer to [Field-2]?
12_Q2633,18 - 11 - What is the answer to [Field-3]?
12_Q2634,18 - 11 - What is the answer to [Field-4]?
12_Q2635,18 - 11 - What is the answer to [Field-5]?
12_Q2636,18 - 11 - What is the answer to [Field-6]?
12_Q2637,18 - 11 - What is the answer to [Field-7]?
12_Q2638,18 - 11 - What is the answer to [Field-8]?
12_Q2639,18 - 11 - What is the answer to [Field-9]?
12_Q2640,18 - 11 - What is the answer to [Field-10]?
12_Q2641,
13_Q2631,5 - 3 - What is the answer to [Field-1]?
13_Q2632,5 - 3 - What is the answer to [Field-2]?
13_Q2633,5 - 3 - What is the answer to [Field-3]?
13_Q2634,5 - 3 - What is the answer to [Field-4]?
13_Q2635,5 - 3 - What is the answer to [Field-5]?
13_Q2636,5 - 3 - What is the answer to [Field-6]?
13_Q2637,5 - 3 - What is the answer to [Field-7]?
13_Q2638,5 - 3 - What is the answer to [Field-8]?
13_Q2639,5 - 3 - What is the answer to [Field-9]?
13_Q2640,5 - 3 - What is the answer to [Field-10]?
13_Q2641,
14_Q2631,8 - 7 - What is the answer to [Field-1]?
14_Q2632,8 - 7 - What is the answer to [Field-2]?
14_Q2633,8 - 7 - What is the answer to [Field-3]?
14_Q2634,8 - 7 - What is the answer to [Field-4]?
14_Q2635,8 - 7 - What is the answer to [Field-5]?
14_Q2636,8 - 7 - What is the answer to [Field-6]?
14_Q2637,8 - 7 - What is the answer to [Field-7]?
14_Q2638,8 - 7 - What is the answer to [Field-8]?
14_Q2639,8 - 7 - What is the answer to [Field-9]?
